id,text,date,amount,merchant,category,sub_category,direction
1,Rs. 3145 spent at Amazon on 28/09/2025. Avl Bal: Rs. 46855,28/09/2025,3145.0,Amazon,Shopping,E-commerce,Debit
2,Your salary Rs. 27789 credited to A/c XXXXX5678 on 26/09/2025,26/09/2025,27789.0,Salary,Income,Salary,Credit
3,Rs 3230 debited towards Rent Payment on 25/09/2025,25/09/2025,3230.0,Landlord,Bills,Rent,Debit
4,Electricity Bill Payment of Rs 2069 successful via PhonePe,--,2069.0,Phonepe,Bills,Electricity,Debit
5,POS 05/09/2025 Dominos Pizza - INR 1797. Bal: Rs. 67548,05/09/2025,1797.0,Dominos,Food,Dining,Debit
6,Electricity Bill Payment of Rs 1788 successful via PhonePe,--,1788.0,Phonepe,Bills,Electricity,Debit
7,Payment of Rs 3205 made to Uber on 26/09/2025 via GPay,26/09/2025,3205.0,Uber,Transport,Ride Sharing,Debit
8,INR 4038 withdrawn from ATM at HDFC Bank on 04/09/2025,04/09/2025,4038.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
9,Your a/c XXXXX1234 credited with INR 30875 via NEFT on 23/09/2025,23/09/2025,30875.0,Neft,Income,NEFT Transfer,Credit
10,Payment of Rs 2664 made to Uber on 03/09/2025 via GPay,03/09/2025,2664.0,Uber,Transport,Ride Sharing,Debit
11,POS 19/09/2025 Myntra Purchase - INR 3057. Avl Bal: Rs. 83671,19/09/2025,3057.0,Myntra,Shopping,Fashion,Debit
12,NEFT/ICIC0001234/Transfer Received of INR 734 on 14/09/2025,14/09/2025,734.0,Neft,Income,NEFT Transfer,Credit
13,POS 20/09/2025 Dominos Pizza - INR 4381. Bal: Rs. 80024,20/09/2025,4381.0,Dominos,Food,Dining,Debit
14,INR 3173 withdrawn from ATM at HDFC Bank on 16/09/2025,16/09/2025,3173.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
15,Rs 1054 debited towards Rent Payment on 11/09/2025,11/09/2025,1054.0,Landlord,Bills,Rent,Debit
16,INR 1897 withdrawn from ATM at HDFC Bank on 25/09/2025,25/09/2025,1897.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
17,Rs. 3171 spent at Amazon on 15/09/2025. Avl Bal: Rs. 70729,15/09/2025,3171.0,Amazon,Shopping,E-commerce,Debit
18,POS 28/09/2025 Myntra Purchase - INR 3960. Avl Bal: Rs. 66769,28/09/2025,3960.0,Myntra,Shopping,Fashion,Debit
19,INR 981 withdrawn from ATM at HDFC Bank on 09/09/2025,09/09/2025,981.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
20,Payment of Rs 1614 made to Uber on 03/09/2025 via GPay,03/09/2025,1614.0,Uber,Transport,Ride Sharing,Debit
21,Electricity Bill Payment of Rs 1774 successful via PhonePe,--,1774.0,Phonepe,Bills,Electricity,Debit
22,NEFT/ICIC0001234/Transfer Received of INR 57645 on 24/09/2025,24/09/2025,57645.0,Neft,Income,NEFT Transfer,Credit
23,UPI/GooglePay credited Rs 51213 from Rahul on 19/09/2025,19/09/2025,51213.0,Googlepay,UPI,UPI Payment,Credit
24,INR 4432 withdrawn from ATM at HDFC Bank on 20/09/2025,20/09/2025,4432.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
25,UPI/GooglePay credited Rs 13466 from Rahul on 21/09/2025,21/09/2025,13466.0,Googlepay,UPI,UPI Payment,Credit
26,UPI/GooglePay credited Rs 20084 from Rahul on 15/09/2025,15/09/2025,20084.0,Googlepay,UPI,UPI Payment,Credit
27,Your a/c XXXXX1234 credited with INR 45685 via NEFT on 05/09/2025,05/09/2025,45685.0,Neft,Income,NEFT Transfer,Credit
28,Your account credited with Rs. 27554 cashback from Flipkart,--,27554.0,Flipkart,Income,Cashback,Credit
29,Your account credited with Rs. 51192 cashback from Flipkart,--,51192.0,Flipkart,Income,Cashback,Credit
30,Your a/c XXXXX1234 credited with INR 58686 via NEFT on 02/09/2025,02/09/2025,58686.0,Neft,Income,NEFT Transfer,Credit
31,INR 3395 withdrawn from ATM at HDFC Bank on 02/09/2025,02/09/2025,3395.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
32,Payment of Rs 192 made to Uber on 25/09/2025 via GPay,25/09/2025,192.0,Uber,Transport,Ride Sharing,Debit
33,Rs. 4645 spent at Amazon on 23/09/2025. Avl Bal: Rs. 375261,23/09/2025,4645.0,Amazon,Shopping,E-commerce,Debit
34,Electricity Bill Payment of Rs 3352 successful via PhonePe,--,3352.0,Phonepe,Bills,Electricity,Debit
35,UPI/GooglePay credited Rs 34083 from Rahul on 18/09/2025,18/09/2025,34083.0,Googlepay,UPI,UPI Payment,Credit
36,Electricity Bill Payment of Rs 4544 successful via PhonePe,--,4544.0,Phonepe,Bills,Electricity,Debit
37,Rs. 2516 spent at Amazon on 29/09/2025. Avl Bal: Rs. 398932,29/09/2025,2516.0,Amazon,Shopping,E-commerce,Debit
38,Your account credited with Rs. 19393 cashback from Flipkart,--,19393.0,Flipkart,Income,Cashback,Credit
39,Rs. 1252 debited at Zomato on 01/09/2025. Bal: Rs. 417073,01/09/2025,1252.0,Zomato,Food,Dining,Debit
40,INR 4416 withdrawn from ATM at HDFC Bank on 24/09/2025,24/09/2025,4416.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
41,Your salary Rs. 949 credited to A/c XXXXX5678 on 19/09/2025,19/09/2025,949.0,Salary,Income,Salary,Credit
42,Rs. 3607 spent at Amazon on 06/09/2025. Avl Bal: Rs. 409999,06/09/2025,3607.0,Amazon,Shopping,E-commerce,Debit
43,UPI payment of Rs 3106 to PAYTM successful on 13/09/2025,13/09/2025,3106.0,Paytm,UPI,UPI Payment,Debit
44,Rs. 703 debited at Zomato on 04/09/2025. Bal: Rs. 406190,04/09/2025,703.0,Zomato,Food,Dining,Debit
45,POS 27/09/2025 Myntra Purchase - INR 4077. Avl Bal: Rs. 402113,27/09/2025,4077.0,Myntra,Shopping,Fashion,Debit
46,Payment of Rs 2867 made to Uber on 11/09/2025 via GPay,11/09/2025,2867.0,Uber,Transport,Ride Sharing,Debit
47,Payment of Rs 1772 made to Uber on 22/09/2025 via GPay,22/09/2025,1772.0,Uber,Transport,Ride Sharing,Debit
48,UPI/GooglePay credited Rs 33169 from Rahul on 21/09/2025,21/09/2025,33169.0,Googlepay,UPI,UPI Payment,Credit
49,UPI/GooglePay credited Rs 18683 from Rahul on 14/09/2025,14/09/2025,18683.0,Googlepay,UPI,UPI Payment,Credit
50,Your a/c XXXXX1234 credited with INR 1675 via NEFT on 22/09/2025,22/09/2025,1675.0,Neft,Income,NEFT Transfer,Credit
51,Your a/c XXXXX1234 credited with INR 30345 via NEFT on 30/09/2025,30/09/2025,30345.0,Neft,Income,NEFT Transfer,Credit
52,POS 08/09/2025 Dominos Pizza - INR 2203. Bal: Rs. 479143,08/09/2025,2203.0,Dominos,Food,Dining,Debit
