id,text,date,amount,merchant,category,sub_category,direction
1,"Your salary Rs. 48,856 credited to A/c XXXXX5678 on 01/09/2025",01/09/2025,48856.0,Salary,Income,Salary,Credit
2,"Rs. 1,200 spent at Amazon on 02/09/2025. Avl Bal: Rs. 47,656",02/09/2025,1200.0,Amazon,Shopping,E-commerce,Debit
3,"Rs. 850 debited at Zomato on 02/09/2025. Bal: Rs. 46,806",02/09/2025,850.0,Zomato,Food,Dining,Debit
4,Payment of Rs 400 made to Uber on 03/09/2025 via GPay,03/09/2025,400.0,Uber,Transport,Ride Sharing,Debit
5,"Electricity Bill Payment of Rs 1,500 successful via PhonePe",--,1500.0,Phonepe,Bills,Electricity,Debit
6,"Rs. 600 spent at Flipkart on 03/09/2025. Avl Bal: Rs. 44,706",03/09/2025,600.0,Flipkart,Shopping,E-commerce,Debit
7,UPI payment of Rs 320 to PAYTM successful on 04/09/2025,04/09/2025,320.0,Paytm,UPI,UPI Payment,Debit
8,"Rs. 250 debited at Swiggy on 04/09/2025. Bal: Rs. 44,136",04/09/2025,250.0,Swiggy,Expense,General Expense,Debit
9,"Rs. 1,200 withdrawn from ATM at HDFC Bank on 05/09/2025",05/09/2025,1200.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
10,"Rent Payment of Rs 12,000 debited on 05/09/2025",05/09/2025,12000.0,Landlord,Bills,Rent,Debit
11,"Internet Bill Payment of Rs 1,200 made via Paytm on 06/09/2025",06/09/2025,1200.0,Paytm,Bills,Internet,Debit
12,"Rs. 450 debited at McDonalds on 06/09/2025. Bal: Rs. 29,486",06/09/2025,450.0,Mcdonalds On,Expense,General Expense,Debit
13,"Rs. 2,200 spent at Myntra on 07/09/2025. Avl Bal: Rs. 27,286",07/09/2025,2200.0,Myntra,Shopping,Fashion,Debit
14,Rs. 900 paid to Ola on 07/09/2025 via UPI,07/09/2025,900.0,Ola,Expense,General Expense,Debit
15,Gas Bill Payment of Rs 850 successful via PhonePe,--,850.0,Phonepe,UPI,UPI Payment,Debit
16,"Rs. 300 spent at Starbucks on 08/09/2025. Avl Bal: Rs. 26,036",08/09/2025,300.0,Starbucks On,Expense,General Expense,Debit
17,"Rs. 150 debited at Zomato on 08/09/2025. Bal: Rs. 25,886",08/09/2025,150.0,Zomato,Food,Dining,Debit
18,Payment of Rs 700 made to Uber on 09/09/2025 via GPay,09/09/2025,700.0,Uber,Transport,Ride Sharing,Debit
19,"Rs. 1,000 spent at Amazon on 09/09/2025. Avl Bal: Rs. 24,186",09/09/2025,1000.0,Amazon,Shopping,E-commerce,Debit
20,Water Bill Payment of Rs 600 successful via Paytm,--,600.0,Paytm,Bills,Water,Debit
21,"Your a/c XXXXX07 debited for payee veena for Rs. 856.00 on 2025-09-06, ref 12345678. if not you report your bank immediately -IOB",--,856.0,Expense,Expense,General Expense,Debit
