id,text
1,"Your salary Rs. 48,856 credited to A/c XXXXX5678 on 01/09/2025"
2,"Rs. 1,200 spent at Amazon on 02/09/2025. Avl Bal: Rs. 47,656"
3,"Rs. 850 debited at Zomato on 02/09/2025. Bal: Rs. 46,806"
4,Payment of Rs 400 made to Uber on 03/09/2025 via GPay
5,"Electricity Bill Payment of Rs 1,500 successful via PhonePe"
6,"Rs. 600 spent at Flipkart on 03/09/2025. Avl Bal: Rs. 44,706"
7,UPI payment of Rs 320 to PAYTM successful on 04/09/2025
8,"Rs. 250 debited at Swiggy on 04/09/2025. Bal: Rs. 44,136"
9,"Rs. 1,200 withdrawn from ATM at HDFC Bank on 05/09/2025"
10,"Rent Payment of Rs 12,000 debited on 05/09/2025"
11,"Internet Bill Payment of Rs 1,200 made via Paytm on 06/09/2025"
12,"Rs. 450 debited at McDonalds on 06/09/2025. Bal: Rs. 29,486"
13,"Rs. 2,200 spent at Myntra on 07/09/2025. Avl Bal: Rs. 27,286"
14,Rs. 900 paid to Ola on 07/09/2025 via UPI
15,Gas Bill Payment of Rs 850 successful via PhonePe
16,"Rs. 300 spent at Starbucks on 08/09/2025. Avl Bal: Rs. 26,036"
17,"Rs. 150 debited at Zomato on 08/09/2025. Bal: Rs. 25,886"
18,Payment of Rs 700 made to Uber on 09/09/2025 via GPay
19,"Rs. 1,000 spent at Amazon on 09/09/2025. Avl Bal: Rs. 24,186"
20,Water Bill Payment of Rs 600 successful via Paytm
21,"Your a/c XXXXX07 debited for payee veena for Rs. 856.00 on 2025-09-06, ref 12345678. if not you report your bank immediately -IOB"
