id,text
1,Rs. 3145 spent at Amazon on 28/09/2025. Avl Bal: Rs. 46855
2,Your salary Rs. 27789 credited to A/c XXXXX5678 on 26/09/2025
3,Rs 3230 debited towards Rent Payment on 25/09/2025
4,Electricity Bill Payment of Rs 2069 successful via PhonePe
5,POS 05/09/2025 Dominos Pizza - INR 1797. Bal: Rs. 67548
6,Electricity Bill Payment of Rs 1788 successful via PhonePe
7,Payment of Rs 3205 made to Uber on 26/09/2025 via GPay
8,INR 4038 withdrawn from ATM at HDFC Bank on 04/09/2025
9,Your a/c XXXXX1234 credited with INR 30875 via NEFT on 23/09/2025
10,Payment of Rs 2664 made to Uber on 03/09/2025 via GPay
11,POS 19/09/2025 Myntra Purchase - INR 3057. Avl Bal: Rs. 83671
12,NEFT/ICIC0001234/Transfer Received of INR 734 on 14/09/2025
13,POS 20/09/2025 Dominos Pizza - INR 4381. Bal: Rs. 80024
14,INR 3173 withdrawn from ATM at HDFC Bank on 16/09/2025
15,Rs 1054 debited towards Rent Payment on 11/09/2025
16,INR 1897 withdrawn from ATM at HDFC Bank on 25/09/2025
17,Rs. 3171 spent at Amazon on 15/09/2025. Avl Bal: Rs. 70729
18,POS 28/09/2025 Myntra Purchase - INR 3960. Avl Bal: Rs. 66769
19,INR 981 withdrawn from ATM at HDFC Bank on 09/09/2025
20,Payment of Rs 1614 made to Uber on 03/09/2025 via GPay
21,Electricity Bill Payment of Rs 1774 successful via PhonePe
22,NEFT/ICIC0001234/Transfer Received of INR 57645 on 24/09/2025
23,UPI/GooglePay credited Rs 51213 from Rahul on 19/09/2025
24,INR 4432 withdrawn from ATM at HDFC Bank on 20/09/2025
25,UPI/GooglePay credited Rs 13466 from Rahul on 21/09/2025
26,UPI/GooglePay credited Rs 20084 from Rahul on 15/09/2025
27,Your a/c XXXXX1234 credited with INR 45685 via NEFT on 05/09/2025
28,Your account credited with Rs. 27554 cashback from Flipkart
29,Your account credited with Rs. 51192 cashback from Flipkart
30,Your a/c XXXXX1234 credited with INR 58686 via NEFT on 02/09/2025
31,INR 3395 withdrawn from ATM at HDFC Bank on 02/09/2025
32,Payment of Rs 192 made to Uber on 25/09/2025 via GPay
33,Rs. 4645 spent at Amazon on 23/09/2025. Avl Bal: Rs. 375261
34,Electricity Bill Payment of Rs 3352 successful via PhonePe
35,UPI/GooglePay credited Rs 34083 from Rahul on 18/09/2025
36,Electricity Bill Payment of Rs 4544 successful via PhonePe
37,Rs. 2516 spent at Amazon on 29/09/2025. Avl Bal: Rs. 398932
38,Your account credited with Rs. 19393 cashback from Flipkart
39,Rs. 1252 debited at Zomato on 01/09/2025. Bal: Rs. 417073
40,INR 4416 withdrawn from ATM at HDFC Bank on 24/09/2025
41,Your salary Rs. 949 credited to A/c XXXXX5678 on 19/09/2025
42,Rs. 3607 spent at Amazon on 06/09/2025. Avl Bal: Rs. 409999
43,UPI payment of Rs 3106 to PAYTM successful on 13/09/2025
44,Rs. 703 debited at Zomato on 04/09/2025. Bal: Rs. 406190
45,POS 27/09/2025 Myntra Purchase - INR 4077. Avl Bal: Rs. 402113
46,Payment of Rs 2867 made to Uber on 11/09/2025 via GPay
47,Payment of Rs 1772 made to Uber on 22/09/2025 via GPay
48,UPI/GooglePay credited Rs 33169 from Rahul on 21/09/2025
49,UPI/GooglePay credited Rs 18683 from Rahul on 14/09/2025
50,Your a/c XXXXX1234 credited with INR 1675 via NEFT on 22/09/2025
51,Your a/c XXXXX1234 credited with INR 30345 via NEFT on 30/09/2025
52,POS 08/09/2025 Dominos Pizza - INR 2203. Bal: Rs. 479143
53,UPI payment of Rs 4802 to PAYTM successful on 13/09/2025
54,Payment of Rs 2682 made to Uber on 10/09/2025 via GPay
55,Your salary Rs. 23472 credited to A/c XXXXX5678 on 03/09/2025
56,INR 316 withdrawn from ATM at HDFC Bank on 19/09/2025
57,Rs 1453 debited towards Rent Payment on 09/09/2025
58,Rs. 3888 spent at Amazon on 06/09/2025. Avl Bal: Rs. 489474
59,Your account credited with Rs. 2515 cashback from Flipkart
60,POS 02/09/2025 Myntra Purchase - INR 4553. Avl Bal: Rs. 487436
61,INR 2366 withdrawn from ATM at HDFC Bank on 29/09/2025
62,NEFT/ICIC0001234/Transfer Received of INR 37399 on 20/09/2025
63,Your a/c XXXXX1234 credited with INR 25530 via NEFT on 17/09/2025
64,INR 2214 withdrawn from ATM at HDFC Bank on 06/09/2025
65,POS 19/09/2025 Dominos Pizza - INR 789. Bal: Rs. 544996
66,INR 946 withdrawn from ATM at HDFC Bank on 25/09/2025
67,Payment of Rs 3281 made to Uber on 09/09/2025 via GPay
68,Your salary Rs. 19449 credited to A/c XXXXX5678 on 17/09/2025
69,Electricity Bill Payment of Rs 2766 successful via PhonePe
70,Rs. 3693 debited at Zomato on 02/09/2025. Bal: Rs. 553759
71,Your salary Rs. 50218 credited to A/c XXXXX5678 on 24/09/2025
72,Your a/c XXXXX1234 credited with INR 48193 via NEFT on 07/09/2025
73,INR 3153 withdrawn from ATM at HDFC Bank on 30/09/2025
74,UPI/GooglePay credited Rs 31200 from Rahul on 26/09/2025
75,Payment of Rs 505 made to Uber on 27/09/2025 via GPay
76,Rs 1838 debited towards Rent Payment on 21/09/2025
77,Your salary Rs. 39327 credited to A/c XXXXX5678 on 18/09/2025
78,Your a/c XXXXX1234 credited with INR 20799 via NEFT on 22/09/2025
79,UPI payment of Rs 3523 to PAYTM successful on 20/09/2025
80,NEFT/ICIC0001234/Transfer Received of INR 14092 on 06/09/2025
81,Your a/c XXXXX1234 credited with INR 42127 via NEFT on 29/09/2025
82,POS 07/09/2025 Myntra Purchase - INR 1215. Avl Bal: Rs. 789481
83,Electricity Bill Payment of Rs 4298 successful via PhonePe
84,Electricity Bill Payment of Rs 1500 successful via PhonePe
85,Electricity Bill Payment of Rs 3927 successful via PhonePe
86,Payment of Rs 447 made to Uber on 18/09/2025 via GPay
87,Your a/c XXXXX1234 credited with INR 7421 via NEFT on 02/09/2025
88,Rs. 961 spent at Amazon on 27/09/2025. Avl Bal: Rs. 785769
89,Rs. 3460 spent at Amazon on 02/09/2025. Avl Bal: Rs. 782309
90,POS 06/09/2025 Dominos Pizza - INR 1543. Bal: Rs. 780766
91,Rs 113 debited towards Rent Payment on 23/09/2025
92,UPI payment of Rs 182 to PAYTM successful on 06/09/2025
93,INR 1492 withdrawn from ATM at HDFC Bank on 20/09/2025
94,Your account credited with Rs. 16398 cashback from Flipkart
95,NEFT/ICIC0001234/Transfer Received of INR 36232 on 25/09/2025
96,POS 27/09/2025 Myntra Purchase - INR 1821. Avl Bal: Rs. 829788
97,INR 739 withdrawn from ATM at HDFC Bank on 12/09/2025
98,Electricity Bill Payment of Rs 739 successful via PhonePe
99,Your a/c XXXXX1234 credited with INR 34256 via NEFT on 29/09/2025
100,Rs. 3658 spent at Amazon on 01/09/2025. Avl Bal: Rs. 858908
101,POS 06/09/2025 Myntra Purchase - INR 3046. Avl Bal: Rs. 855862
102,INR 4202 withdrawn from ATM at HDFC Bank on 25/09/2025
103,Rs. 1272 debited at Zomato on 14/09/2025. Bal: Rs. 850388
104,Electricity Bill Payment of Rs 2483 successful via PhonePe
105,Your salary Rs. 49220 credited to A/c XXXXX5678 on 24/09/2025
106,Your salary Rs. 38006 credited to A/c XXXXX5678 on 13/09/2025
107,Your account credited with Rs. 4310 cashback from Flipkart
108,Electricity Bill Payment of Rs 4611 successful via PhonePe
109,Your salary Rs. 27899 credited to A/c XXXXX5678 on 22/09/2025
110,Payment of Rs 4889 made to Uber on 16/09/2025 via GPay
111,Electricity Bill Payment of Rs 4825 successful via PhonePe
112,Rs. 3256 debited at Zomato on 23/09/2025. Bal: Rs. 949759
113,Electricity Bill Payment of Rs 1456 successful via PhonePe
114,Your salary Rs. 40413 credited to A/c XXXXX5678 on 02/09/2025
115,UPI payment of Rs 3856 to PAYTM successful on 19/09/2025
116,Your salary Rs. 4645 credited to A/c XXXXX5678 on 10/09/2025
117,NEFT/ICIC0001234/Transfer Received of INR 39299 on 05/09/2025
118,Rs. 3776 debited at Zomato on 20/09/2025. Bal: Rs. 1025028
119,Rs 2678 debited towards Rent Payment on 20/09/2025
120,POS 11/09/2025 Dominos Pizza - INR 3039. Bal: Rs. 1019311
121,UPI/GooglePay credited Rs 55877 from Rahul on 09/09/2025
122,Electricity Bill Payment of Rs 4689 successful via PhonePe
123,Your salary Rs. 56401 credited to A/c XXXXX5678 on 18/09/2025
124,Rs. 2805 debited at Zomato on 30/09/2025. Bal: Rs. 1124095
125,Electricity Bill Payment of Rs 1742 successful via PhonePe
126,Payment of Rs 1319 made to Uber on 19/09/2025 via GPay
127,POS 03/09/2025 Myntra Purchase - INR 3917. Avl Bal: Rs. 1117117
128,NEFT/ICIC0001234/Transfer Received of INR 28961 on 05/09/2025
129,Payment of Rs 1612 made to Uber on 26/09/2025 via GPay
130,POS 03/09/2025 Dominos Pizza - INR 2191. Bal: Rs. 1142275
131,UPI/GooglePay credited Rs 19606 from Rahul on 07/09/2025
132,Payment of Rs 1936 made to Uber on 03/09/2025 via GPay
133,Your salary Rs. 35207 credited to A/c XXXXX5678 on 25/09/2025
134,Rs. 1929 spent at Amazon on 29/09/2025. Avl Bal: Rs. 1193223
135,Rs 2927 debited towards Rent Payment on 06/09/2025
136,Your salary Rs. 25452 credited to A/c XXXXX5678 on 12/09/2025
137,Rs 4304 debited towards Rent Payment on 19/09/2025
138,Rs. 4142 spent at Amazon on 14/09/2025. Avl Bal: Rs. 1207302
139,Payment of Rs 4152 made to Uber on 12/09/2025 via GPay
140,Rs. 1980 debited at Zomato on 12/09/2025. Bal: Rs. 1201170
141,POS 17/09/2025 Myntra Purchase - INR 2709. Avl Bal: Rs. 1198461
142,POS 22/09/2025 Myntra Purchase - INR 4041. Avl Bal: Rs. 1194420
143,Your a/c XXXXX1234 credited with INR 58736 via NEFT on 26/09/2025
144,INR 2285 withdrawn from ATM at HDFC Bank on 14/09/2025
145,Your account credited with Rs. 55725 cashback from Flipkart
146,Rs. 2363 debited at Zomato on 29/09/2025. Bal: Rs. 1304233
147,NEFT/ICIC0001234/Transfer Received of INR 23132 on 27/09/2025
148,POS 16/09/2025 Dominos Pizza - INR 636. Bal: Rs. 1326729
149,Payment of Rs 3092 made to Uber on 10/09/2025 via GPay
150,Rs. 4787 debited at Zomato on 14/09/2025. Bal: Rs. 1318850
151,INR 157 withdrawn from ATM at HDFC Bank on 05/09/2025
152,Your account credited with Rs. 8422 cashback from Flipkart
153,UPI/GooglePay credited Rs 59161 from Rahul on 10/09/2025
154,POS 14/09/2025 Myntra Purchase - INR 1920. Avl Bal: Rs. 1384356
155,POS 12/09/2025 Myntra Purchase - INR 1760. Avl Bal: Rs. 1382596
156,UPI/GooglePay credited Rs 17567 from Rahul on 16/09/2025
157,Payment of Rs 1746 made to Uber on 02/09/2025 via GPay
158,Electricity Bill Payment of Rs 4401 successful via PhonePe
159,Your salary Rs. 19381 credited to A/c XXXXX5678 on 12/09/2025
160,UPI/GooglePay credited Rs 38000 from Rahul on 18/09/2025
161,Your a/c XXXXX1234 credited with INR 41443 via NEFT on 05/09/2025
162,POS 21/09/2025 Myntra Purchase - INR 4204. Avl Bal: Rs. 1488636
163,POS 23/09/2025 Myntra Purchase - INR 3880. Avl Bal: Rs. 1484756
164,Rs. 1310 debited at Zomato on 05/09/2025. Bal: Rs. 1483446
165,UPI payment of Rs 1748 to PAYTM successful on 23/09/2025
166,Electricity Bill Payment of Rs 1782 successful via PhonePe
167,Your account credited with Rs. 41557 cashback from Flipkart
168,Your salary Rs. 27279 credited to A/c XXXXX5678 on 06/09/2025
169,POS 04/09/2025 Dominos Pizza - INR 3643. Bal: Rs. 1545109
170,UPI payment of Rs 1883 to PAYTM successful on 28/09/2025
171,Electricity Bill Payment of Rs 2466 successful via PhonePe
172,Rs. 1084 spent at Amazon on 22/09/2025. Avl Bal: Rs. 1539676
173,UPI/GooglePay credited Rs 48806 from Rahul on 05/09/2025
174,Rs. 4658 spent at Amazon on 25/09/2025. Avl Bal: Rs. 1583824
175,POS 27/09/2025 Myntra Purchase - INR 1794. Avl Bal: Rs. 1582030
176,Rs 549 debited towards Rent Payment on 07/09/2025
177,Rs 272 debited towards Rent Payment on 09/09/2025
178,POS 06/09/2025 Dominos Pizza - INR 3181. Bal: Rs. 1578028
179,POS 08/09/2025 Dominos Pizza - INR 2099. Bal: Rs. 1575929
180,Your salary Rs. 2565 credited to A/c XXXXX5678 on 30/09/2025
181,Your account credited with Rs. 52733 cashback from Flipkart
182,POS 07/09/2025 Dominos Pizza - INR 913. Bal: Rs. 1630314
183,Rs. 4284 debited at Zomato on 24/09/2025. Bal: Rs. 1626030
184,Your account credited with Rs. 44587 cashback from Flipkart
185,INR 3535 withdrawn from ATM at HDFC Bank on 25/09/2025
186,UPI payment of Rs 4560 to PAYTM successful on 02/09/2025
187,POS 05/09/2025 Dominos Pizza - INR 2872. Bal: Rs. 1659650
188,Payment of Rs 3163 made to Uber on 08/09/2025 via GPay
189,NEFT/ICIC0001234/Transfer Received of INR 46351 on 04/09/2025
190,Payment of Rs 1789 made to Uber on 09/09/2025 via GPay
191,Rs. 4731 debited at Zomato on 11/09/2025. Bal: Rs. 1696318
192,Your account credited with Rs. 57248 cashback from Flipkart
193,Your account credited with Rs. 42861 cashback from Flipkart
194,Your salary Rs. 36640 credited to A/c XXXXX5678 on 28/09/2025
195,Rs. 714 debited at Zomato on 30/09/2025. Bal: Rs. 1832353
196,Electricity Bill Payment of Rs 4816 successful via PhonePe
197,INR 2417 withdrawn from ATM at HDFC Bank on 18/09/2025
198,Your salary Rs. 14549 credited to A/c XXXXX5678 on 22/09/2025
199,Rs. 1115 debited at Zomato on 28/09/2025. Bal: Rs. 1838554
200,POS 21/09/2025 Dominos Pizza - INR 1942. Bal: Rs. 1836612
201,UPI/GooglePay credited Rs 27337 from Rahul on 12/09/2025
202,Your account credited with Rs. 54095 cashback from Flipkart
203,POS 15/09/2025 Myntra Purchase - INR 2502. Avl Bal: Rs. 1915542
204,UPI payment of Rs 1350 to PAYTM successful on 03/09/2025
205,NEFT/ICIC0001234/Transfer Received of INR 24727 on 19/09/2025
206,UPI payment of Rs 3717 to PAYTM successful on 25/09/2025
207,Electricity Bill Payment of Rs 3144 successful via PhonePe
208,Your a/c XXXXX1234 credited with INR 14073 via NEFT on 25/09/2025
209,INR 3345 withdrawn from ATM at HDFC Bank on 01/09/2025
210,Rs. 3946 spent at Amazon on 03/09/2025. Avl Bal: Rs. 1938840
211,Your salary Rs. 881 credited to A/c XXXXX5678 on 28/09/2025
212,Payment of Rs 1933 made to Uber on 14/09/2025 via GPay
213,NEFT/ICIC0001234/Transfer Received of INR 39735 on 17/09/2025
214,POS 14/09/2025 Dominos Pizza - INR 974. Bal: Rs. 1976549
215,Electricity Bill Payment of Rs 626 successful via PhonePe
216,Your account credited with Rs. 50703 cashback from Flipkart
217,INR 1147 withdrawn from ATM at HDFC Bank on 11/09/2025
218,Rs. 4360 spent at Amazon on 08/09/2025. Avl Bal: Rs. 2021119
219,POS 15/09/2025 Myntra Purchase - INR 1772. Avl Bal: Rs. 2019347
220,Rs. 3932 debited at Zomato on 12/09/2025. Bal: Rs. 2015415
221,Rs. 2759 spent at Amazon on 08/09/2025. Avl Bal: Rs. 2012656
222,INR 4153 withdrawn from ATM at HDFC Bank on 23/09/2025
223,INR 4902 withdrawn from ATM at HDFC Bank on 05/09/2025
224,POS 24/09/2025 Dominos Pizza - INR 3821. Bal: Rs. 1999780
225,INR 2707 withdrawn from ATM at HDFC Bank on 04/09/2025
226,POS 03/09/2025 Myntra Purchase - INR 3112. Avl Bal: Rs. 1993961
227,POS 06/09/2025 Dominos Pizza - INR 330. Bal: Rs. 1993631
228,POS 27/09/2025 Dominos Pizza - INR 3767. Bal: Rs. 1989864
229,Electricity Bill Payment of Rs 1191 successful via PhonePe
230,POS 23/09/2025 Dominos Pizza - INR 1839. Bal: Rs. 1986834
231,Rs. 4262 spent at Amazon on 06/09/2025. Avl Bal: Rs. 1982572
232,Payment of Rs 2089 made to Uber on 18/09/2025 via GPay
233,UPI/GooglePay credited Rs 43403 from Rahul on 05/09/2025
234,Rs. 3029 spent at Amazon on 26/09/2025. Avl Bal: Rs. 2020857
235,Rs. 4845 spent at Amazon on 11/09/2025. Avl Bal: Rs. 2016012
236,Electricity Bill Payment of Rs 3693 successful via PhonePe
237,NEFT/ICIC0001234/Transfer Received of INR 14624 on 26/09/2025
238,Rs. 668 spent at Amazon on 05/09/2025. Avl Bal: Rs. 2026275
239,Rs. 1207 debited at Zomato on 02/09/2025. Bal: Rs. 2025068
240,Payment of Rs 4055 made to Uber on 15/09/2025 via GPay
241,INR 689 withdrawn from ATM at HDFC Bank on 08/09/2025
242,Rs. 1055 spent at Amazon on 07/09/2025. Avl Bal: Rs. 2019269
243,Your a/c XXXXX1234 credited with INR 30117 via NEFT on 27/09/2025
244,Rs. 3808 debited at Zomato on 25/09/2025. Bal: Rs. 2045578
245,Rs. 4135 debited at Zomato on 28/09/2025. Bal: Rs. 2041443
